residual sugar,chlorides,sulphates,total acidity,citric acid percentage,free sulfur dioxide percentage,percentage of alcohol density,quality
1.7,0.094,0.5,8.04,0.0099502487562189,0.2222222222222222,0.0984172893066602,
2.1,0.077,0.51,8.674999999999999,0.0253602305475504,0.1846153846153846,0.0923046051971506,
2.6,0.092,0.64,10.53,0.0379867046533713,0.25,0.1001662760181902,
2.8,0.072,0.68,13.4,0.0410447761194029,0.2916666666666667,0.1089869215694116,
2.2,0.081,0.72,8.76,0.0365296803652968,0.4050632911392405,0.1103974307507025,
2.3,0.079,0.57,10.2,0.0490196078431372,0.3943661971830985,0.0970291087326197,
2.3,0.075,0.71,8.82,0.0476190476190476,0.631578947368421,0.1186716817185268,
1.7,0.079,0.64,7.390000000000001,0.0257104194857916,0.5,0.0984459601997046,
2.1,0.064,0.93,6.51,0.0,0.7407407407407407,0.107537688442211,
2.1,0.084,0.77,8.924999999999999,0.026890756302521,0.3846153846153846,0.1073004412354592,
1.75,0.071,0.76,8.68,0.0587557603686636,0.5113636363636364,0.1185643663839877,
1.9,0.076,0.54,8.620000000000001,0.0011600928074245,0.21875,0.0963197816751615,
1.8,0.084,0.77,9.8,0.036734693877551,0.3529411764705882,0.1083206290620236,
1.9,0.078,0.59,8.0,0.03625,0.4393939393939394,0.0952763012736937,
4.3,0.093,0.45,7.229999999999999,0.0,0.6580645161290323,0.095421764197754,
2.6,0.093,0.61,13.32,0.0487987987987988,0.3191489361702128,0.1060424169667867,
2.0,0.052,0.79,7.96,0.0326633165829145,0.2467532467532467,0.1095367299768867,
1.9,0.062,0.64,8.19,0.0317460317460317,0.2903225806451613,0.0963275135460565,
1.6,0.078,0.54,9.865,0.0040547389761784,0.2857142857142857,0.0971943887775551,
2.2,0.084,0.55,8.940000000000001,0.0055928411633109,0.4482758620689655,0.0994075710412692,
8.3,0.05,0.51,8.200000000000001,0.0829268292682926,0.1348920863309352,0.123847114261549,
3.2,0.066,0.66,11.55,0.0632034632034632,0.2727272727272727,0.1121570198277588,
2.1,0.074,0.74,10.12,0.0454545454545454,0.3125,0.123433250709992,
2.7,0.085,0.63,12.0,0.0408333333333333,0.2439024390243902,0.1050630378226936,
2.1,0.084,0.7,11.815,0.0457046127803639,0.3333333333333333,0.0921197556823871,
1.7,0.062,0.57,10.1,0.0386138613861386,0.3333333333333333,0.1156011258544431,
8.6,0.068,0.57,7.12,0.0379213483146067,0.1621621621621621,0.1135906714917571,
1.8,0.611,1.26,8.11,0.093711467324291,0.1777777777777777,0.0943017656500802,
2.6,0.132,1.18,11.69,0.0256629597946963,0.1166666666666666,0.1022187481209788,
1.6,0.08,0.5,7.46,0.0402144772117962,0.5,0.0942894686688132,
1.9,0.079,0.57,7.399999999999999,0.0243243243243243,0.2093023255813953,0.093298555377207,
2.5,0.088,0.62,10.39,0.0307988450433108,0.2417582417582417,0.1012125463473293,
2.2,0.065,0.52,7.195,0.0,0.5384615384615384,0.1167260359435689,
2.0,0.19,0.6,7.57,0.0,0.2666666666666666,0.0943055499819414,
2.5,0.093,0.65,8.79,0.0,0.3275862068965517,0.0929814037192561,
3.0,0.104,0.68,8.479999999999999,0.070754716981132,0.4545454545454545,0.1061826341307048,
2.5,0.083,0.54,9.04,0.0597345132743362,0.4385964912280701,0.0921566663327657,
2.6,0.076,0.69,10.975,0.0555808656036446,0.4583333333333333,0.09,
2.3,0.166,0.51,7.385,0.0,0.5,0.108487107110928,
2.1,0.064,0.61,7.73,0.0181112548512289,0.5172413793103449,0.1218247535817484,
2.4,0.012,0.39,6.98,0.0401146131805157,0.36,0.1181054671727368,
2.3,0.087,0.44,8.39,0.0250297973778307,0.3088235294117647,0.0924158714213962,
1.9,0.074,0.62,6.7700000000000005,0.0369276218611521,0.4285714285714285,0.098255464206938,
2.2,0.08,0.58,7.83,0.003831417624521,0.1931818181818181,0.098250538874129,
2.4,0.0559999999999999,0.67,6.295,0.0206513105639396,0.5,0.1247961997544332,
1.4,0.057,0.45,6.5,0.0,0.5769230769230769,0.0955273107553696,
2.4,0.077,0.57,10.53,0.0227920227920227,0.1818181818181818,0.0942450370964507,
2.5,0.063,0.8,7.45,0.0496644295302013,0.2682926829268293,0.1246995645571657,
1.6,0.078,0.62,7.66,0.0182767624020887,0.3888888888888889,0.0933809944573861,
2.8,0.088,0.51,9.41,0.0318809776833156,0.3695652173913043,0.0932237369687249,
2.6,0.07,0.65,11.05,0.0479638009049773,0.3125,0.1103088648215002,
2.3,0.065,0.55,9.2,0.0097826086956521,0.1891891891891892,0.0902843958469177,
4.8,0.12,0.77,14.03,0.0563079116179615,0.2987012987012987,0.1297664204432022,
2.0,0.06,0.56,8.67,0.0346020761245674,0.6129032258064516,0.1024302068688491,
2.6,0.083,0.82,12.87,0.0427350427350427,0.3676470588235294,0.1040520260130065,
3.5,0.094,0.58,10.39,0.0558229066410009,0.2093023255813953,0.0899640143942423,
1.8,0.114,0.59,7.745,0.0154938670109748,0.234375,0.0953930192392657,
2.3,0.078,0.48,10.78,0.0296846011131725,0.2302631578947368,0.094188376753507,
2.6,0.084,0.57,9.45,0.0518518518518518,0.28,0.0971262641433863,
2.1,0.1369999999999999,0.4,9.18,0.0,0.5555555555555556,0.1095741686436929,
1.8,0.065,0.82,7.22,0.0415512465373961,0.8,0.1003290793803676,
2.5,0.078,0.53,7.82,0.0076726342710997,0.2023809523809523,0.0972470073987929,
2.3,0.111,0.61,8.285,0.0277610138805069,0.238095238095238,0.0933360096346848,
2.2,0.068,0.75,9.28,0.043103448275862,0.4285714285714285,0.1266509860683915,
2.7,0.067,0.44,7.92,0.0404040404040404,0.28,0.1043883245673907,
1.9,0.062,0.64,8.19,0.0317460317460317,0.2903225806451613,0.0963275135460565,
3.3,0.07,0.91,11.85,0.0413502109704641,0.2702702702702703,0.1099670098970309,
2.4,0.241,0.59,7.535,0.0225613802256138,0.3333333333333333,0.1034032727637787,
2.0,0.062,0.76,7.18,0.0027855153203342,0.6981132075471698,0.1167307343973272,
2.6,0.081,0.52,8.535,0.0,0.4285714285714285,0.0932330827067669,
2.6,0.088,0.68,12.98,0.0508474576271186,0.2439024390243902,0.0979020979020979,
1.5,0.069,0.54,8.27,0.0253929866989117,0.4444444444444444,0.0985340545758008,
1.7,0.054,0.84,5.87,0.0017035775127768,0.1851851851851851,0.12583048117576,
2.1,0.07,0.82,7.82,0.0409207161125319,0.7285714285714285,0.1297551751191937,
2.4,0.213,0.62,10.71,0.0392156862745097,0.4285714285714285,0.0950570342205323,
2.1,0.105,0.52,8.96,0.0089285714285714,0.3636363636363636,0.110463948584053,
2.4,0.07,0.72,7.119999999999999,0.0112359550561797,0.5,0.125807685339882,
1.9,0.065,0.71,9.6,0.03125,0.4705882352941176,0.1052378375127788,
3.2,0.076,0.89,10.81,0.0508788159111933,0.4074074074074074,0.0990396158463385,
1.7,0.079,0.62,7.96,0.0389447236180904,0.4,0.0952705684142966,
2.5,0.074,0.88,8.53,0.0457209847596717,0.6041666666666666,0.1245880556225383,
2.2,0.114,0.63,7.87,0.0584498094027954,0.35,0.1053719630294941,
1.4,0.066,0.59,6.31,0.063391442155309,0.2454545454545454,0.1200564971751412,
1.4,0.086,0.46,9.085,0.0220143093010456,0.2258064516129032,0.1005429318318922,
2.4,0.088,0.6,9.69,0.0,0.5,0.0930930930930931,
1.9,0.08,0.59,8.645,0.0208212839791787,0.3714285714285714,0.0902527075812274,
2.0,0.081,0.64,7.615,0.0472751149047931,0.2888888888888888,0.0922583233052547,
2.3,0.071,0.62,10.44,0.043103448275862,0.4,0.0940846762085877,
2.2,0.114,0.73,8.635,0.0497973364215402,0.1929824561403508,0.0922768304914744,
1.7,0.086,0.48,8.14,0.0085995085995086,0.3125,0.100500492452413,
2.0,0.0559999999999999,0.76,7.58,0.0408970976253298,0.5172413793103449,0.1135998069808589,
5.8,0.083,0.73,13.415,0.0491986582184122,0.1666666666666666,0.0997804829375374,
2.0,0.073,0.76,12.45,0.0441767068273092,0.5102040816326531,0.1030309092727818,
2.0,0.067,0.54,7.649999999999999,0.0313725490196078,0.5833333333333334,0.1004258054149594,
2.0,0.09,0.58,6.8,0.0117647058823529,0.7272727272727273,0.1055382450497537,
2.2,0.084,0.67,11.2,0.0366071428571428,0.4117647058823529,0.0931490384615384,
2.4,0.107,0.66,11.01,0.0581289736603088,0.4,0.118319462548882,
1.8,0.104,0.93,8.36,0.0227272727272727,0.2553191489361702,0.095343235648334,
2.2,0.119,0.6,9.35,0.0042780748663101,0.25,0.1094157799638626,
1.8,0.088,0.56,8.28,0.001207729468599,0.6666666666666666,0.1054555680539932,
1.9,0.077,0.61,8.84,0.0316742081447963,0.275,0.1002204850671477,
2.0,0.063,0.83,7.03,0.0085348506401137,0.6590909090909091,0.103529033360472,
1.8,0.071,0.54,6.699999999999999,0.0119402985074626,0.3111111111111111,0.1107352822743013,
2.4,0.123,0.53,11.66,0.0566037735849056,0.375,0.1194275506312599,
2.0,0.076,0.6,7.279999999999999,0.0343406593406593,0.4754098360655737,0.1044911082085803,
2.4,0.076,0.53,7.53,0.0013280212483399,0.358974358974359,0.1085187194791101,
2.4,0.074,0.46,9.07,0.051819184123484,0.2413793103448276,0.0951999198316464,
2.6,0.068,0.47,7.79,0.0128369704749679,0.2857142857142857,0.1054619232237198,
1.9,0.081,0.65,8.32,0.0300480769230769,0.3684210526315789,0.0901442307692307,
2.9,0.096,0.62,8.88,0.0146396396396396,0.2222222222222222,0.0911458333333333,
1.8,0.075,0.56,8.06,0.0,0.325,0.0942072559631188,
2.2,0.072,0.82,12.91,0.0557707203718048,0.2068965517241379,0.0981275658355862,
1.7,0.077,0.6,7.16,0.0335195530726257,0.5294117647058824,0.1065540812223562,
2.5,0.114,0.66,8.26,0.009685230024213,0.3043478260869565,0.0962792097081536,
1.8,0.095,0.54,8.1,0.0037037037037037,0.2525252525252525,0.1015075376884422,
1.7,0.066,0.58,6.69,0.0119581464872944,0.15,0.0944343982318665,
2.3,0.103,0.52,10.4,0.023076923076923,0.4285714285714285,0.1002204850671477,
2.5,0.076,0.81,8.399999999999999,0.0511904761904761,0.6078431372549019,0.1043422425555823,
2.1,0.127,0.72,9.78,0.0296523517382413,0.375,0.1123595505617977,
2.2,0.084,0.5,8.969999999999999,0.0,0.3225806451612903,0.0983382836959139,
2.0,0.067,0.57,8.94,0.0100671140939597,0.5,0.118690780341588,
1.8,0.076,0.53,7.62,0.0104986876640419,0.3333333333333333,0.0901984365604329,
2.7,0.075,0.61,8.39,0.0059594755661501,0.5555555555555556,0.0912372167635853,
1.8,0.073,0.59,7.58,0.0395778364116094,0.4428571428571428,0.095300195616191,
2.4,0.074,1.13,9.67,0.0548086866597724,0.3333333333333333,0.120457739409757,
2.8,0.068,0.53,7.58,0.0369393139841688,0.375,0.1033285848999819,
1.9,0.052,0.7,9.33,0.0482315112540192,0.375,0.1256533976678729,
1.4,0.073,0.68,12.5,0.0472,0.5476190476190477,0.1052104208416833,
2.6,0.095,0.77,13.1,0.0564885496183206,0.3214285714285714,0.108064838903342,
1.6,0.05,0.54,6.8500000000000005,0.0087591240875912,0.3333333333333333,0.1202842533317228,
2.1,0.111,0.62,9.36,0.0555555555555555,0.5,0.1134902780009641,
6.3,0.05,0.56,8.9,0.0449438202247191,0.3,0.1205230701243396,
1.6,0.072,0.48,7.85,0.0038216560509554,0.4047619047619047,0.0903977501004419,
0.9,0.049,0.44,8.18,0.0452322738386308,0.3302752293577982,0.1282737584211217,
2.2,0.084,0.5,8.969999999999999,0.0,0.3225806451612903,0.0983382836959139,
2.4,0.078,0.61,7.45,0.0013422818791946,0.53125,0.1285786037167252,
